HOTG戰力追蹤 2025/08/09,,,,,,
名次,名稱,戰力,,,,
1,Daisy of Zeon,???,,,,
2,GGhowda,???,,,,
3,七彩牛肉絲,???,,,,
4,小愛CoBeOH,???,,,,
5,伸懶腰,???,,,,
6,kim so hee,???,,,,
7,御龍,???,,,,
8,SYAWAL SR,???,,,,
9,ZloveToffee,???,,,,
10,jujĩ999,???,,,,
11,Ironman mk43,???,,,,
12,奧比爾,???,,,,
13,鹹濕肉丸子,???,,,,
14,Lum No one behind,???,,,,
15,帳號被鎖,???,,,,
16,广告活,80.6M,,,,
17,東頭村拓哉,79.9M,,,,
18,tianling,78.6M,,,,
19,korb jai na,78.6M,,,,
20,Ann0901,78.5M,,,,
21,B іAS,77.9M,,,,
22,ĐÌNH THIÊN,76.0M,,,,
23,迷迷貓貓,75.9M,,,,
24,Sugar Glider,75.6M,,,,
25,Boa hancock 08,75.3M,,,,
26,Maeaqw,75.3M,,,,
27,BONNE B2,75.3M,,,,
28,鈦強鐵人,75.1M,,,,
29,YEDPED49,74.9M,,,,
30,契機,74.8M,,,,
31,marinaprc,74.2M,,,,
32,WEWW,74.1M,,,,
33,小金毛宝宝,73.9M,,,,
34,王國企鵝,73.9M,,,,
35,Merlinmor,73.8M,,,,
36,Bridgerton B3,73.2M,,,,
37,球棒滑入專家,73.2M,,,,
38,名前なし猿,72.5M,,,,
39,offpersarunwick,72.4M,,,,
40,頭大部隊,72.2M,,,,
41,Homer Forever,72.0M,,,,
42,紫星夢海潮,71.8M,,,,
43,Jacky 3558,71.7M,,,,
44,kajunoi,71.4M,,,,
45,花花Miranda,71.3M,,,,
46,陌生人别爱,70.6M,,,,
47,當當當當當,70.1M,,,,
48,夢幻魅影,68.9M,,,,
49,popo9522,68.3M,,,,
50,cucuchicken,68.2M,,,,
51,Insurance Planner,68.0M,,,,
52,不良人不良帥,67.6M,,,,
53,yu xuan,67.6M,,,,
54,tilley man,67.5M,,,,
55,natcha0822,67.0M,,,,
56,Xianboy95,66.7M,,,,
57,MOGANICX,66.4M,,,,
58,BabyTonpunn,66.3M,,,,
59,BPP8986,66.2M,,,,
60,Tsubasa翼,65.1M,,,,
61,奥比爾,64.5M,,,,
62,BIGAJU,64.5M,,,,
63,Daisy41,64.0M,,,,
64,Man3317,64.0M,,,,
65,champ army,64.0M,,,,
66,Klotzyk,62.2M,,,,
67,亂玩遊戲吧,61.8M,,,,
68,allan6,61.6M,,,,
69,萬兔素利佛,61.4M,,,,
70,田園挖寶,61.4M,,,,
71,明阿a,60.9M,,,,
72,貓手貓腳,60.7M,,,,
73,Benjamin Low,59.0M,,,,
74,金吉掰,58.9M,,,,
75,Fongido,58.1M,,,,
76,辣媽小粉絲,57.9M,,,,
77,dragonfly575,57.6M,,,,
78,хиІІ,57.0M,,,,
79,LAIKABOY,56.6M,,,,
80,啊红姐姐nice,56.6M,,,,
81,Chella72,56.5M,,,,
82,망고토스,56.3M,,,,
83,ParkGZoong,56.2M,,,,
84,mecco,55.9M,,,,
85,豐豐偉士,55.2M,,,,
86,NeWTON,54.0M,,,,
87,安泥亞二士,53.5M,,,,
88,zero anonymity,53.3M,,,,
89,Kadadfloy,53.0M,,,,
90,Pikdee,50.7M,,,,
91,Faber飛寶,50.2M,,,,
92,Wwwcc,49.2M,,,,
93,MrMelo07,48.2M,,,,
94,DatoSri 拿督,48.1M,,,,
95,YC藝術,45.8M,,,,
